hello can I help you ,क्या मै आपकी सहयता कर सकता हूँ,O O O O O O O,
yeah I want to determine the maximum number of boxcars of oranges that I can get to Bath by seven am tomorrow morning ,हाँ  मैं संतरे के मुक्केबाजों की अधिकतम संख्या निर्धारित करना चाहता हूं जिन्हें मैं कल सुबह सात बजे तक स्नान कर सकता हूं,O O O O O O O O O O O O O O B-time-relative B-period-of-day B-time O O O O O O,boxcars oranges Bath am
so I guess all the boxcars will have to go through Corning because that where the orange factory is ,इसलिए मुझे लगता है कि सभी मुक्केबाजों को कॉर्निंग से गुजरना होगा क्योंकि जहां नारंगी का कारखाना है,O O O O O O O O O O O O O O B-food O O O,boxcars Corning factory
so from Corning to Bath how far is that ,तो कॉर्निंग से लेकर बाथ तक कितनी दूर है,O O O O O O O O O,Corning Bath
two hours ,दो घंटे,B-time I-time,
and it gonna take us also an hour to load boxcars right ,और बॉक्सिंग को सही तरीके से लोड करने में हमें एक घंटे का समय लगेगा,O O O O O O O O O O O O O O O,hour boxcars
right ,सही,O,
so every trip will take at least three hours then ,इसलिए हर यात्रा में कम से कम तीन घंटे लगेंगे,O O O O O O O B-time I-time O,
um ,एक,O,
right we can unload any amount of cargo onto a train in one hour ,सही है हम एक घंटे में एक ट्रेन में कार्गो की किसी भी राशि को उतार सकते हैं,O O O B-time O O O B-vehicle O B-item O O O O O O O O,hour
so can we do a maximum of three boxcars in an hour ,तो हम एक घंटे में अधिकतम तीन बॉक्सकार कर सकते हैं,O O O O O O B-number O O O O,boxcars hour
right okay ,ठीक है,O O,
so I guess one thing is that we should see how many boxcars we can actually get to Corning in four hours ,इसलिए मुझे लगता है कि एक बात यह है कि हमें देखना चाहिए कि हम चार घंटे में कितने बॉक्सिंग कर सकते हैं,O O O O O O O O O O O O O O O B-time I-time O O O O O O,boxcars Corning
how far is it from Avon to Bath to Corning ,एवन से बाथ से कॉर्निंग तक कितनी दूर है,O O O O O O O O O,Avon Bath Corning
that six hours it shorter through Dansville ,डांसविले के माध्यम से यह छह घंटे कम है,O O O O O B-time I-time O O,Dansville
okay ,ठीक है,O O,
from Avon oh no but the thing is is that I was thinking if I was wondering if we could actually pick up those two boxcars which are at Bath ,एवन ओह से नहीं  लेकिन बात यह है कि मैं सोच रहा था कि क्या मैं सोच रहा था कि क्या हम वास्तव में उन दो मुक्केबाजों को स्नान के लिए उठा सकते हैं,O O O O O O O O O O O O O O O O O O O O O O O O O B-number O O O O O O O O,Avon boxcars Bath
mm ,मिमी,O,
but I think that we cannot even put them in to that they would even come in to play ,लेकिन मुझे लगता है कि हम उन्हें इसमें नहीं डाल सकते हैं कि वे खेलने के लिए भी आएंगे,O O O O O O O O O O O O O O O O O O O,
unless how far is it from Elmira to Bath ,एलमीरा से बाथ तक कितनी दूर है,O O O O O O O,Elmira Bath
two hours ,दो घंटे,B-time I-time,
oh really so then we could actually take like engine E two ,ओह वास्तव में तो हम वास्तव में इंजन ई दो की तरह ले सकते हैं,O O O O O O O O O I-vehicle-name O O O O O,engine E
have it go to bath pick up those two box cars there ,क्या यह वहाँ उन दो बॉक्स कारों को स्नान करने के लिए जाना है,O O O O B-number B-item I-item O O O O O O O,bath
take it to how long from Bath to Corning an hour I guess ,मुझे लगता है कि स्नान से लेकर एक घंटे तक कॉर्निंग तक कितना समय लगता है,O O O O O O O O O O O O O O O O,Bath Corning hour
two hours ,दो घंटे,B-time I-time,
oh wait a second I thought well from from like Elmira through to Corning to Bath is how many hours ,ओह रुको मैं एक दूसरे से अच्छी तरह से सोचता हूं कि एल्मिरा की तरह कॉर्निंग से बाथ तक कितने घंटे हैं,O O O O O O O O O O O O O O O O O O O O O O,Elmira Corning Bath
four hours ,चार घंटे,B-time I-time,
oh that four hours so we like screwed as far as those two box cars at Bath go ,ओह  चार घंटे तो हम बाथ गो में उन दो बॉक्स कारों के रूप में दूर के रूप में खराब कर दिया,O B-time I-time O O O O O O B-number B-item I-item O O O O O O O O O O,Bath
like I I donot think we so to get the maximum number of box cars of oranges to bath by seven am I donot think we can even use those two at bath ,II डोनट की तरह हमें लगता है कि हम संतरे की बॉक्स कारों की अधिकतम संख्या को सात बजे तक स्नान करने के लिए प्राप्त करते हैं। मुझे नहीं लगता कि हम उन दो का भी उपयोग कर सकते हैं स्नान,O O O O O O O O O O O B-item I-item O O O O B-time O O O O O O O O O O O O O O O B-number O O O O O O O,oranges bath am bath
because there we because we cannot get an engine to Bath in time ,क्योंकि हम वहाँ क्योंकि हम समय में स्नान करने के लिए एक इंजन नहीं मिल सकता,O O O O O O O O O O O O O O O O,engine Bath
that right ,कि सही,O O,
okay so we have the three boxcars at Dansville ,ठीक है  इसलिए हमारे पास डांसविले में तीन बॉक्सर हैं,O O O O O O O B-number O O,boxcars Dansville
so how far is it from Avon to Danville ,एवन से Danville तक कितनी दूर है,O O O O O O O,Avon Danville
three hours ,तीन घंटे,B-time I-time,
three hours then from Dansville to Corning ,तीन घंटे बाद डांसविले से कॉर्निंग तक,B-time I-time O O O O O,Dansville Corning
one hour ,एक घंटा,B-time O,hour
okay so we we can actually use those three boxcars right ,ठीक है  इसलिए हम वास्तव में उन तीन मुक्केबाजों का सही उपयोग कर सकते हैं,O O O O O O O B-number O O O O O O O,boxcars
mm-hm ,मिमी-एचएम,O,
okay so that three boxcars ,ठीक है  ताकि तीन बॉक्सकार,O O O B-number O,boxcars
okay so that engine E one ,ठीक है कि इंजन ई एक,O O O O O I-vehicle-name,engine E
from Avon going to Dansville pick up the three boxcars ,एवन से डांसविले जा रहे तीन मुक्केबाजों को उठाया,O O O O O B-number O O O,Avon Dansville boxcars
go to Corning load them up and then take it to Bath ,कॉर्निंग पर जाएँ उन्हें लोड करें और फिर उसे बाथ पर ले जाएँ,O O O O O O O O O O O O O,Corning Bath
okay so that good ,ठीक है तो अच्छा है,O O O O O,
so then I guess we can also take like engine E two with those two boxcars from Elmira ,तो मुझे लगता है कि हम भी एल्मिरा के उन दो मुक्केबाजों के साथ इंजन ई दो की तरह ले सकते हैं,O O O O O O O O O O B-number O O O O O O O O O O O,engine E boxcars Elmira
take it to Corning ,इसे कॉर्निंग पर ले जाएं,O O O O O,Corning
so Elmira to Corning is two hours ,इसलिए एल्मिरा से कॉर्निंग दो घंटे है,O O O O B-time I-time O,Elmira Corning
mm-hm ,मिमी-एचएम,O,
okay and okay so yeah that that should also work ,ठीक है और ठीक है तो हाँ  यह भी काम करना चाहिए,O O O O O O O O O O O O,
mm-hm ,मिमी-एचएम,O,
so so did you wanna repeat that plan ,इसलिए आपने उस योजना को दोहराना चाहा,O O O O O O O,
okay engine E one goes to Dansville picks up three boxcars ,ठीक है इंजन ई एक डान्सविले में जाता है तीन बॉक्सकार उठाता है,O O O O I-vehicle-name O O O O B-number O O O,engine E Dansville boxcars
goes to Corning is loaded with oranges and goes to Bath ,कोर्निंग पर जाता है संतरे से भरा हुआ है और स्नान करने जाता है,O O O O O O O O O O O O O O,Corning oranges Bath
