I would like to book a trip to Atlantis from Caprica on Saturday August 13 2016 for 8 adults,আমি 13 প্রাপ্তবয়স্কদের জন্য 13 ই আগস্ট শনিবার ক্যাপ্রিকার আটলান্টিসে একটি ট্রিপ বুক করতে চাই,O B-depart_date.day_number B-passenger_type O O O O O O O O O B-book O O,Atlantis Caprica Saturday August 2016 8
I have a tight budget of 1700,আমার 1700 টা বাজেট আছে,O B-budget_amount O O O,
Hi I checked a few options for you and unfortunately we do not currently have any trips that meet this criteria,হাই আমি আপনার জন্য কয়েকটি বিকল্প চেক করেছি এবং দুর্ভাগ্যবশত আমরা বর্তমানে এই মানদণ্ড পূরণের যে কোনো ভ্রমণ নেই,O O O O O O O O O O O O O O O O O O O,
Would you like to book an alternate travel option,আপনি একটি বিকল্প ভ্রমণ বিকল্প বুক করতে চান,O O O O O B-book O O,
Yes how about going to Neverland from Caprica on August 13 2016 for 5 adults,13 আগস্ট ২016 তারিখে ক্যাপ্রিকার কাছ থেকে 5 প্রাপ্তবয়স্কদের জন্য কীভাবে নেভল্যান্ড যাওয়ার কথা,B-depart_date.day_number O O O O O O B-passenger_number B-passenger_type O O O O O,Neverland Caprica August 2016
For this trip my budget would be 1900,এই ভ্রমণের জন্য আমার বাজেট 1900 হবে,O O O O O B-budget_amount O,
I checked the availability for this date and there were no trips available,আমি এই তারিখের জন্য প্রাপ্যতা চেক এবং কোন ট্রিপ উপলব্ধ ছিল,O O O O O O O O O O O,
Would you like to select some alternate dates,আপনি কিছু বিকল্প তারিখ নির্বাচন করতে চান,O O O O O O O,alternate
I have no flexibility for dates but I can leave from Atlantis rather than Caprica,আমার তারিখগুলির জন্য কোনও নমনীয়তা নেই তবে আমি ম্যাপির পরিবর্তে আটলান্টিস থেকে চলে যেতে পারি,O O O O O O O O O O O O O O O,Atlantis Caprica
How about that,কিভাবে যে সম্পর্কে,O O O,
I checked the availability for that date and there were no trips available,আমি যে তারিখের জন্য প্রাপ্যতা চেক এবং কোন ট্রিপ উপলব্ধ ছিল,O O O O O O O O O O O,
Would you like to select some alternate dates,আপনি কিছু বিকল্প তারিখ নির্বাচন করতে চান,O O O O O O O,alternate
I suppose I will speak with my husband to see if we can choose other dates and then I will come back to you,আমি মনে করি আমরা অন্যান্য তারিখ নির্বাচন করতে পারি কিনা তা দেখার জন্য আমি আমার স্বামীর সাথে কথা বলব এবং তারপর আমি আপনার কাছে ফিরে আসব,O O O O O O O O O O O O O O O O O O O O O O O O O O,husband
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,O O O O,
Hello I am looking to book a vacation from Gotham City to Mos Eisley for $ 2100,হ্যালো আমি 2100 ডলারের জন্য গথাম সিটি থেকে মোস ইিসলে থেকে একটি ছুটি বুক করতে চাই,O O B-budget_amount O O O O O O O O O B-occasion_type B-book O O,Gotham City Mos Eisley $
Hi Sorry I cannot find any trips from Gotham City to Mos Eisley for you,হাই দুঃখিত আমি আপনার জন্য গোথাম সিটি থেকে Mos Eisley কোন ট্রিপ খুঁজে পাচ্ছি না,O O O O O O O O O O O O O O O,Sorry Gotham City Mos Eisley
What about a trip from Gotham City to Neverland for the same budget,একই বাজেটের জন্য গথাম সিটি থেকে নেভিল্যান্ডের একটি ট্রিপ সম্পর্কে কী,B-budget_relative O O O O O O O O O O,Gotham City Neverland
Sorry I cannot find any trips leaving from Gotham City,দুঃখিত আমি গোথাম সিটি থেকে যে কোনও ট্রিপ খুঁজে পাচ্ছি না,O O O O O O O O O O O,Sorry Gotham City
Could you suggest another nearby departure city,আপনি অন্য কাছাকাছি প্রস্থান শহর সুপারিশ করতে পারে,O O O O O O O O,nearby
Would any packages to Mos Eisley be available if I increase my budget to $ 2500,আমি যদি আমার বাজেটটি $ 2500 বৃদ্ধি করি তবে মোস ইিসলেতে যেকোনো প্যাকেজ উপলব্ধ হবে,O O O O B-budget_unit B-budget_amount O O O O O O O O O,packages Mos Eisley increase
There are no trips available to Mos Eisley,Mos Eisley কোন ট্রিপ নেই,O O O O O,Mos Eisley
You know what I would like to try and visit Neverland,আপনি কি চেষ্টা করতে চান এবং Neverland পরিদর্শন করতে চান জানি,O O O O O O O O O O O,Neverland
I cannot find any trips available to Neverland,আমি Neverland উপলব্ধ কোনো ট্রিপ খুঁজে পাচ্ছি না,O O O O O O O O,Neverland
Do you have any trips from Gotham City to Kobe for my original budget of $ 2100,2100 ডলারের মূল বাজেটের জন্য আপনি গথাম সিটি থেকে কোবে পর্যন্ত কোনও ভ্রমণ করেছেন,B-budget_amount O B-budget_relative O O O O O O O O O O O,Gotham City Kobe $
I can book you a 3 day trip to Kobe leaving from Sapporo Japan,আমি আপনাকে জাপানের সাপ্পোর থেকে কোবে যাওয়ার 3 দিনের সফরটি বুক করতে পারি,O O O O O O O B-trip_duration O O B-book O O,day Kobe Sapporo Japan
Is this ok,এটা কি ঠিক আছে,O O O O,
No that is too far for me,যে আমার জন্য খুব দূরে,O O O O O,far
I need a flight that leaves from Birmingham,আমি বার্মিংহাম থেকে যে একটি ফ্লাইট প্রয়োজন,O O O O O B-transport_type O,Birmingham
I can book you a trip from Birmingham to Kobe for 2747.8 USD,আমি আপনাকে 2747.8 ইউএসডি থেকে বার্মিংহাম থেকে কোবে ভ্রমণ করতে পারি,O O B-budget_amount O O O O O O O O,book Birmingham Kobe USD
How many days would I be in Kobe,আমি কোবে কত দিন হবে,O O O O O,Kobe
You would arrive in Kobe August 17th and return to Birmingham on August 22nd,17 ই আগস্ট কোবেতে আপনি আগমন করবেন এবং ২২ আগস্ট বার্মিংহাম ফিরে আসবেন,O O O O O O O O O O O O O,Kobe August 17th Birmingham August 22nd
What would the price be if I shortened my trip by one day,আমি একদিনের মধ্যে আমার ট্রিপ ছোট হলে দাম কি হবে,O O O O O O O O O O,shortened one day
I can not find any trips from Birmingham to Kobe for 4 days,আমি 4 দিনের জন্য বার্মিংহাম থেকে কোবের কোনো ভ্রমণ খুঁজে পাচ্ছি না,O B-trip_duration O O O O O O O O O O,Birmingham Kobe days
Ok then I would like to purchase this package,ঠিক আছে তাহলে আমি এই প্যাকেজ ক্রয় করতে চাই,O O O O O B-trip_inclusions O O O,
What activities are included in this package,কি কার্যক্রম এই প্যাকেজ অন্তর্ভুক্ত করা হয়,O B-activity O B-trip_inclusions B-trip_relative O O,
There are no activities listed for this package,এই প্যাকেজের জন্য তালিকাভুক্ত কোন কার্যক্রম নেই,O B-trip_inclusions O O O B-activity O,
You will be staying at the Ivory Legacy Hotel for 7 days,আপনি আইভরি লিগ্যাসি হোটেলে 7 দিনের জন্য থাকবেন,O O O O B-trip_duration O O O,Ivory Legacy Hotel days
This hotel has a 4.5 star rating and free wifi,এই হোটেলটিতে 4.5 তারকা রেটিং এবং বিনামূল্যে ওয়াইফাই রয়েছে,O O B-hotel_rating I-hotel_rating O O B-amenities_cost.relative B-amenities_type O,rating
Will I go ahead and book this package,আমি এগিয়ে যান এবং এই প্যাকেজ বুক হবে,O O O O O B-trip_inclusions B-book O,
Yes I would like to book this package,হ্যাঁ আমি এই প্যাকেজ বুক করতে চাই,O O O B-trip_inclusions B-book O O,
Great Your flight departs from Birmingham at 9:00 am Wednesday August 17th 2016,বৃহত্তর আপনার ফ্লাইট বার্মিংহাম থেকে বুধবার 17:00 বুধবার 17 আগস্ট,O O B-transport_type O O O O O O O,Birmingham 9:00 am Wednesday August 17th 2016
Enjoy your trip I have booked this package for you,আপনার ট্রিপ উপভোগ করুন আমি আপনার জন্য এই প্যাকেজ বুক করেছেন,O O O O O O O O B-trip_inclusions O O,booked
Hello there i am looking to go on a vacation with my family to Gotham City can you help me,হ্যালো  আমি আমার পরিবারকে গোথাম সিটিতে ছুটিতে যেতে চাই  আপনি আমাকে সাহায্য করতে পারেন,O O O O O O O O O O O O O O,vacation family Gotham City
when would you like to travel and how many people will you be,আপনি ভ্রমণ করতে চান এবং আপনি কত মানুষ হবে,O O O O O O O B-passenger O,
Not sure when we want to leave but we are 12 kids and 5 adults,আমরা ছেড়ে যেতে চাই না নিশ্চিত কিন্তু আমরা 12 বাচ্চাদের এবং 5 প্রাপ্তবয়স্ক,O O O O O O O O B-passenger_number B-passenger_type O B-passenger_number O,adults
do you have a budget,আপনি একটি বাজেট আছে,O O O O,
yes i do it is around $ 2200,হ্যাঁ আমি প্রায় $ 2200 এটা না,O O O B-budget_unit B-budget_amount O O,around
where will you be travelling from,আপনি কোথা থেকে ভ্রমণ করা হবে,O O O O O O,
We are from Neverland,আমরা Neverland থেকে হয়,O O O O,Neverland
We have nothing available leaving from Neverland are you able to depart from another city,আমরা Neverland থেকে ছেড়ে পাওয়া যায় না আপনি অন্য শহর থেকে প্রস্থান করতে পারবেন,O O O O O O O O O O O O O O,Neverland
we can depart from Toronto,আমরা টরন্টো থেকে প্রস্থান করতে পারেন,O O O O O O,Toronto
Gotham City is not a destination we travel to,গোথাম সিটি একটি গন্তব্য নয় যা আমরা ভ্রমণ করি,O O O O O O O O O,Gotham City
Are you interested in any other destinations,আপনি অন্য কোন গন্তব্য আগ্রহী,O O O O O,
hmm what options would i have out of Toronto,হুম আমি টরন্টো থেকে কি বিকল্প আছে,O O O O O O O,Toronto
Would you be interested in Calgary,আপনি ক্যাল্যাগারি আগ্রহী হবে,O O O O,Calgary
that would be nice,সেটা ভালো হবে,O O O,
I have a departure from Toronto to Calgary on August 17 returning on August 24,17 আগস্ট তারিখে টরন্টো থেকে ক্যাস্টারি যাওয়ার আগাম 17 আগস্ট ফিরে যাচ্ছি,B-depart_date.day_number O O O O O O O O O O O,Toronto Calgary August August 24
Does that work for you,যে আপনার জন্য কাজ করে,O O O O O,
No sorry i was planning on getting a tan this vacation,দুঃখিত আমি এই ছুটির একটি টান পেয়ে পরিকল্পনা ছিল,B-apology O O O O O O O O,vacation
Thanks is there anywhere else,ধন্যবাদ অন্য কোথাও আছে,O O O O,
Thank you,ধন্যবাদ,O,
How about a trip to Dominican Republic,কিভাবে ডোমিনিকান প্রজাতন্ত্র একটি ট্রিপ সম্পর্কে,O O O O O O,Dominican Republic
it is quite cheap at this time of year,এটা বছরের এই সময়ে বেশ সস্তা,O O O O O B-cost_relative,
What options do you have available for me,আপনি আমার জন্য কি অপশন আছে,O O O O O O,
I have the el Mar hotel available in Punta Cana this week,আমি এই সপ্তাহে Punta Cana পাওয়া El Mar হোটেল আছে,O O O O O O O O I-hotel_name O,el Mar Punta Cana
That sounds interesting how many stars does the hotel have,যে হোটেল আছে কতগুলি আকর্ষণীয় আকর্ষণীয় শব্দ,O O O O O O O,stars
2.5 stars,2.5 তারা,B-hotel_rating O,stars
You would have to fly out of Melbourne though,যদিও আপনি মেলবোর্ন থেকে উড়ে যেতে হবে,O O O O O O O,Melbourne
Ahh maybe another time,আহ্ হয়তো অন্য সময়,O O O O,
Hi I would like to go to Caprica from Busan between Sunday August 21 2016 and Wednesday August 31 2016,হাই আমি বুধবার থেকে বুশান থেকে কপricায় 21 আগস্ট 2016 এবং বুধবার 31 আগস্ট 2016 এর মধ্যে যেতে চাই,O O O O O O O B-trip_duration.day_number O B-trip_duration.year O O B-trip_duration.day_number O O O O O O,Caprica Busan Sunday August Wednesday August
And what would be your maximum budget for this trip,এবং এই ট্রিপ জন্য আপনার সর্বোচ্চ বাজেট হবে,O O O O O O O O,maximum
Actually it is unlimited for this trip,আসলে এই ট্রিপ জন্য সীমাহীন,O O O O B-amenities_cost.relative,
How many adults and how many children will be making this trip,এই ভ্রমন করা কত প্রাপ্তবয়স্ক এবং কত শিশু,O O O O O O O B-passenger_type,adults
2 adults,2 প্রাপ্তবয়স্কদের,B-passenger_number B-passenger_type,
I have no trips to Caprica from Busan,আমি বুসান থেকে ক্যাপ্রিকার কোন ভ্রমণ আছে,O O O O O O O,Caprica Busan
I do have a trip to Mannheim Germany one to Kingston  Canada and another to Toronto Canada,ম্যানহেইম জার্মানিতে এক জন কিংস্টন কানাডা এবং আরেকটি টরন্টো কানাডা যাবেন,O O B-number O O O O O O O O,Mannheim Germany Kingston Canada Toronto Canada
Would you like to select alternate dates or an alternate travel destination,আপনি বিকল্প তারিখ বা বিকল্প ভ্রমণ গন্তব্য নির্বাচন করতে চান,O O O O O O O O O O,alternate
Do you have anything for San Antonio as a destination,আপনি একটি গন্তব্য হিসাবে সান আন্তোনিও জন্য কিছু আছে,O O O O O O O O O,San Antonio
Yes I do,হ্যাঁ আমি কি,O O O,
Would you like to book this package,আপনি এই প্যাকেজ বুক করতে চান,O O B-trip_inclusions B-book O O,
I have one for 8445.37 USD,আমার 8445.37 ইউএসডি আছে,O B-budget_amount O O,one USD
The guest rating is 7.15/10 and there is free parking and free wifi,অতিথি রেটিং 7.15 / 10 এবং বিনামূল্যে পার্কিং এবং বিনামূল্যে ওয়াইফাই আছে,B-guest_rating O O O O O B-amenities_cost.relative B-amenities_type O O B-amenities_type O,rating 7.15/10
Leaving Sunday August 21st at 11:00 a.m and returning Sunday August 28th at 1:00 a.m,২1 আগস্ট রোববার সকাল 11 টা থেকে সকাল 11 টা এবং রবিবার ২8 আগস্ট 1:00 টায় ফিরে আসি,O O O O O O O O O O O O O O B-return_time.time O O O,Sunday August 21st 11:00 a.m Sunday August 28th a.m
Is breakfast included,নাস্তা কী এর অন্তর্ভুক্ত,B-meal_description O O B-trip_relative,
Yes it is,হ্যাঁ এটা,O O,
That sounds great 1:00 am return on Sunday August 28th is very early in the morning,যে মহান শোনাচ্ছে 1:00 এ রবিবার আগস্ট 28th ফিরে সকালে খুব তাড়াতাড়ি হয়,O O O B-return_time.time O O O B-return_date.day_number O O O O O,am Sunday August early morning
Would you like to book this package,আপনি এই প্যাকেজ বুক করতে চান,O O B-trip_inclusions B-book O O,
Yes I would thanks for your help,হ্যাঁ আমি আপনার সাহায্যের জন্য ধন্যবাদ হবে,O O O O O O O,
Hello I am looking to book a trip for 2 adults and 6 children for $ 21300 or less,হ্যালো আমি 2 প্রাপ্তবয়স্কদের এবং 6 সন্তান $ 21300 বা তার কম জন্য একটি ট্রিপ বুক খুঁজছেন,O O B-passenger_number B-passenger_type O B-passenger_number B-passenger_type B-budget_unit B-budget_amount O O O O O O B-book O,less
We are departing from Kochi for Denver,আমরা কোন্চি থেকে ডেনভারের উদ্দেশ্যে যাচ্ছি,O O O O O O,Kochi Denver
I have several options available within your budget,আমি আপনার বাজেটের মধ্যে উপলব্ধ বিভিন্ন অপশন আছে,O O O O O O O O,
How long would you like to travel for,আপনি কতক্ষণ জন্য ভ্রমণ করতে চান,O O O O O O,
And do you have dates in mind,এবং আপনি মনে তারিখ আছে,O O O O O,
I do not have any dates in mind,আমার মনে কোন তারিখ নেই,O O O O O,
I would like to spend as much time in Denver as my budget will allow,আমি আমার বাজেট অনুমতি দেবে হিসাবে ডেনভার হিসাবে অনেক সময় ব্যয় করতে চান,O O O O O O O O O O O O O,Denver
I can book 7 days at a 4.0 star hotel for 19028.93 USD,আমি 190২8.93 ইউএসডি এর জন্য 4.0 তারকা হোটেলে 7 দিন বুক করতে পারি,O O O O O B-hotel_rating I-hotel_rating O B-trip_duration O B-book O O,days 19028.93 USD
I can also book 7 days at a 3.0 star hotel for 12824.84 USD,আমি 12824.84 মার্কিন ডলারের জন্য একটি 3.0 তারকা হোটেলে 7 দিন বুক করতে পারি,O B-budget_amount O O O O B-hotel_rating I-hotel_rating O B-trip_duration O B-book O O,days USD
Do these packages have different departure dates,এই প্যাকেজ বিভিন্ন প্রস্থান তারিখ আছে,O O O O O O,packages
When would I be leaving for each of them,আমি তাদের প্রতিটি জন্য যখন যাব,O O O O O O,
The 3.0 star trip leaves Kochi August 26 and returns August 31,3.0 তারকা যাত্রা কোচি ছেড়ে ২6 আগস্ট এবং 31 আগস্ট আয় করে,B-hotel_rating I-hotel_rating O O O O O O B-return_date.day_number O O O,Kochi August 26 August
The 4.0 star leaves August 27 from Kochi and returns September 1,২7 আগস্ট কোচি থেকে ২7 আগস্ট পাতা ছেড়ে 1 সেপ্টেম্বর,O O O O O O O O B-return_date.day_number O,4.0 star August 27 Kochi September
Ok I would like to purchase the trip with the 4 star hotel,ঠিক আছে আমি 4 তারকা হোটেলের সাথে ট্রিপ কিনতে চাই,O O O B-hotel_rating I-hotel_rating O O O O O,
Perfect I will book that trip for you now,পারফেক্ট আমি এখন আপনার জন্য যে ট্রিপ বই হবে,O O O O O O O B-book O,
You will depart Kochi at 9:00 am August 27,২5 আগস্ট  ২7 আগস্ট কোচি ত্যাগ করবে,O O O O O O O,Kochi 9:00 am August 27
