 i want to fly from boston at 8:38 am and arrive in denver at 11:10 in the morning ,আমি বোস্টন থেকে 8:38 টায় উড়ে যাচ্ছি এবং সকালে 11:10 এ ডেনভারে পৌঁছাতে চাই,O B-fromloc.city_name O B-depart_time.time O O O O O B-arrive_time.time O B-toloc.city_name O O,am morning
 what flights are available from pittsburgh to baltimore on thursday morning ,কি ফ্লাইট বৃহস্পতিবার সকালে Pittsburgh থেকে Baltimore থেকে পাওয়া যায়,O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O O,morning
 what is the arrival time in san francisco for the 7:55 am flight leaving washington ,সান ফ্রান্সিস্কোতে আগমনের সময় 7:55 টা ফ্লাইট ছাড়ার আগমনের সময়,O O B-flight_time I-flight_time B-depart_time.time O O O O O,san francisco am washington
 cheapest airfare from tacoma to orlando ,টাকোমা থেকে অরল্যান্ডো থেকে সস্তা বিমান ভাড়া,B-fromloc.city_name O B-toloc.city_name O O O O,cheapest
 round trip fares from pittsburgh to philadelphia under 1000 dollars ,পিটসবার্গ থেকে ফিলাডেলফিয়া থেকে 1000 ডলারের মধ্যে রাউন্ড ট্রিপ ভাড়া,B-fromloc.city_name O B-toloc.city_name O B-fare_amount O O B-round_trip I-round_trip O,under dollars
 i need a flight tomorrow from columbus to minneapolis ,আমি কলম্বাস থেকে মিনিয়াপলিস আগামীকাল একটি ফ্লাইট প্রয়োজন,O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative O O O,
 what kind of aircraft is used on a flight from cleveland to dallas ,Cleveland থেকে ডালাস একটি ফ্লাইটে কি ধরনের বিমান ব্যবহার করা হয়,B-fromloc.city_name O B-toloc.city_name O O O O O O O O,
 show me the flights from pittsburgh to los angeles on thursday ,বৃহস্পতিবার পিটসবার্গ থেকে লস এঞ্জেলেস থেকে ফ্লাইট দেখান,B-depart_date.day_name B-fromloc.city_name O O I-toloc.city_name O O O,los
 all flights from boston to washington ,বোস্টন থেকে ওয়াশিংটন সব ফ্লাইট,B-fromloc.city_name O B-toloc.city_name O O,
 what kind of ground transportation is available in denver ,গ্রাউন্ড পরিবহন কি ধরণের denver পাওয়া যায়,O O O O B-city_name O O,
 show me the flights from dallas to san francisco ,আমাকে ডালাস থেকে সান ফ্রান্সিস্কো ফ্লাইট দেখান,O B-fromloc.city_name O O I-toloc.city_name O O,san
 show me the flights from san diego to newark by way of houston ,হাউস্টনের পথে নানার্ক থেকে সান ডিয়েগো থেকে ফ্লাইটগুলি দেখান,B-stoploc.city_name O O O O I-fromloc.city_name O O O,san newark
 what's the airport at orlando ,Orlando এ বিমানবন্দর কি,B-city_name O O O,
 what is the cheapest flight from boston to bwi ,Boston থেকে bwi সবচেয়ে সস্তা ফ্লাইট কি,B-fromloc.city_name O O O O O O,cheapest bwi
 all flights to baltimore after 6 pm ,সকাল সাড়ে 6 টায় বাল্টিমোরের সব ফ্লাইট!,O O B-depart_time.time O B-toloc.city_name O O,after pm
 show me the first class fares from boston to denver ,আমাকে বোস্টন থেকে ডেনভারের প্রথম শ্রেণীর ভাড়া দেখান,O B-fromloc.city_name O B-toloc.city_name O I-class_type O O,first
 show me the ground transportation in denver ,আমাকে denver মধ্যে স্থল পরিবহন প্রদর্শন,O B-city_name O O O O,
 all flights from denver to pittsburgh leaving after 6 pm and before 7 pm ,ড্যানভার থেকে পিটসবার্গ থেকে 6 টা এবং সন্ধ্যায় 7 টা ছাড়ার পরে সব ফ্লাইট,B-fromloc.city_name O B-toloc.city_name O B-depart_time.time O O O B-depart_time.time O O O O O,after pm before pm
 i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore ,ডালাস ডালাসে বোস্টন এবং বস্টনোর কাছে বোস্টনোর জন্য বেল্টিমোর ছাড়ার জন্য ফ্লাইটে আমার ফ্লাইটের তথ্য দরকার।,B-fromloc.city_name O B-fromloc.city_name O O O O O O O O O O O O O,tuesday baltimore baltimore
 please give me the flights from boston to pittsburgh on thursday of next week ,আমাকে আগামী সপ্তাহে বুস্টন থেকে পিটসবার্গে ফ্লাইটগুলি দিন,O O O O O B-toloc.city_name O O,boston thursday next
