hello can I help you ,হ্যালো আমি কি আপনাকে সাহায্য করতে পারি,O O O O O O O,
yeah I want to determine the maximum number of boxcars of oranges that I can get to Bath by seven am tomorrow morning ,হ্যাঁ আমি সকালের সকাল সাতটা বাথরুমের বাঙ্গালীর সর্বাধিক সংখ্যক বক্সার নির্ধারণ করতে চাই,O O B-period-of-day O B-time O O O O O O O O,boxcars oranges Bath am tomorrow
so I guess all the boxcars will have to go through Corning because that where the orange factory is ,তাই আমি সব Boxcars Corning মাধ্যমে যেতে হবে অনুমান কারণ যে কমলা কারখানা যেখানে,O O O B-item O O O O O O O B-food B-place O,Corning
so from Corning to Bath how far is that ,তাই কর্নিং থেকে বাথ পর্যন্ত কত দূর,O O O O O O O,Corning Bath
two hours ,দুই ঘন্টা,B-time I-time,
and it gonna take us also an hour to load boxcars right ,এবং এটি বক্সকারগুলিকে সঠিকভাবে লোড করতে আমাদের এক ঘন্টা সময় দেবে,O O O O O O O O O O O,hour boxcars
right ,অধিকার,O,
so every trip will take at least three hours then ,তাই প্রতি ট্রিপ অন্তত তিন ঘন্টা সময় নিতে হবে,O O O O B-time I-time O O O,
um ,একটি,O,
right we can unload any amount of cargo onto a train in one hour ,ঠিক আছে আমরা এক ঘন্টা ট্রেনের উপর কোনও মালবাহী মালামাল আনলোড করতে পারি,O O O B-time O B-vehicle O O O O O O O,cargo hour
so can we do a maximum of three boxcars in an hour ,তাই আমরা এক ঘন্টার মধ্যে সর্বোচ্চ তিন বক্সকার করতে পারি,O O O O O O B-number O O O,boxcars hour
right okay ,ঠিক আছে ঠিক আছে,O O O O,
so I guess one thing is that we should see how many boxcars we can actually get to Corning in four hours ,তাই আমি মনে করি এক জিনিস হল যে আমরা দেখব কতগুলি বক্সকার আমরা প্রকৃতপক্ষে চার ঘণ্টার মধ্যে কার্নিং পেতে পারি,O O O O O O O O O O O O O O B-time I-time O O O O,boxcars Corning
how far is it from Avon to Bath to Corning ,এভন থেকে স্নান পর্যন্ত কতো দূরে?,O O O O O O,Avon Bath Corning
that six hours it shorter through Dansville ,যে ছয় ঘন্টা এটা Dansville মাধ্যমে খাটো,O B-time I-time O O O O,Dansville
okay ,ঠিক আছে,O O,
from Avon oh no but the thing is is that I was thinking if I was wondering if we could actually pick up those two boxcars which are at Bath ,এভন ওহ না  কিন্তু জিনিসটি হল যে আমি ভাবছিলাম যদি আমি বিস্মিত হতাম যে আমরা আসলেই বাথরুমের দুটি বক্সকারগুলি বাছাই করতে পারি,O O O O O O O O O O O O O O O O O B-number O O O O,Avon boxcars Bath
mm ,মিমি,O,
but I think that we cannot even put them in to that they would even come in to play ,কিন্তু আমি মনে করি আমরা এমনকি তাদেরকে খেলতেও পারি না যাতে তারা খেলতে পারে,O O O O O O O O O O O O O O,
unless how far is it from Elmira to Bath ,Elmira থেকে বাথ পর্যন্ত কত দূরে না,O O O O O O O,Elmira Bath
two hours ,দুই ঘন্টা,B-time I-time,
oh really so then we could actually take like engine E two ,ওহ সত্যিই তাই আমরা আসলে ইঞ্জিন ই দুই মত নিতে পারে,O O O O O O O I-vehicle-name O O O,engine E
have it go to bath pick up those two box cars there ,এটা কি সেখানে দুই বক্স কার স্নান যেতে যান,O O O B-number B-item O B-tocity O O,cars
take it to how long from Bath to Corning an hour I guess ,বাথ থেকে ক্রনিং পর্যন্ত কত ঘন্টা লাগবে তা অনুমান কর,O O O O O O O O O O,Bath Corning hour
two hours ,দুই ঘন্টা,B-time I-time,
oh wait a second I thought well from from like Elmira through to Corning to Bath is how many hours ,ওহ  একদিন অপেক্ষা করলাম এলমিরার মতো সিগারেট থেকে স্নান পর্যন্ত কত ঘন্টার মত ভাল চিন্তা,O O O O O O O O O O O O O O O,Elmira Corning Bath
four hours ,চার ঘন্টা,B-time I-time,
oh that four hours so we like screwed as far as those two box cars at Bath go ,ওহ চার ঘন্টা তাই আমরা বাথ যান এ দুটি বক্স কার পর্যন্ত screwed পছন্দ,O B-time I-time O O O O O B-number B-item O O O O,cars Bath
like I I donot think we so to get the maximum number of box cars of oranges to bath by seven am I donot think we can even use those two at bath ,দ্বিতীয় মত মনে করি না আমরা স্যান্ডিংয়ের বাক্সে সর্বাধিক সংখ্যক বক্স গাড়ি স্নান করে সাত মিনিট স্নান করি। আমি মনে করি না যে আমরা স্নান করে সেগুলিও ব্যবহার করতে পারি,O O O O O O O O O O B-item I-item B-city O B-time O O O O O O O O O O O O O O O,oranges am two
because there we because we cannot get an engine to Bath in time ,কারণ আমরা সেখানে কারণ আমরা সময় বাথ একটি ইঞ্জিন পেতে পারেন না,O O O O O O O O O O O O,engine Bath
that right ,সেটা ঠিক,O O,
okay so we have the three boxcars at Dansville ,ঠিক আছে তাই আমরা ডান্সভিল এ তিন বক্সকার আছে,O O O O O O B-number O O,boxcars Dansville
so how far is it from Avon to Danville ,তাই এভন থেকে ড্যানভিল পর্যন্ত কত দূরে,O O O O O O O,Avon Danville
three hours ,তিন ঘণ্টা,B-time O,hours
three hours then from Dansville to Corning ,তিন ঘন্টা তারপর ড্যানসভিল থেকে Corning,B-time I-time O O O O,Dansville Corning
one hour ,এক ঘন্টা,B-time O,hour
okay so we we can actually use those three boxcars right ,ঠিক আছে তাই আমরা আসলে আমরা যারা তিন boxcars অধিকার ব্যবহার করতে পারেন,O O O O O O O B-number B-item O O O O,
mm-hm ,MM-এইচএম,O,
okay so that three boxcars ,ঠিক আছে তাই তিন boxcars,O O O B-number B-item,
okay so that engine E one ,ঠিক আছে তাই ইঞ্জিন ই এক,O O O O O I-vehicle-name,engine E
from Avon going to Dansville pick up the three boxcars ,এভন থেকে ড্যানসভিলের কাছে তিনটি বক্সকার তুলে নেওয়া হয়েছে,O O O O B-number O O O O,Avon Dansville boxcars
go to Corning load them up and then take it to Bath ,Corning তাদের যেতে লোড এবং তারপর বাথ নিতে,O O O O O O O O,Corning Bath
okay so that good ,ঠিক আছে তাই ভাল,O O O O,
so then I guess we can also take like engine E two with those two boxcars from Elmira ,তাই আমি অনুমান করি আমরা এলিমির সেই দুটি বক্সকারগুলির সাথে ইঞ্জিন ই-তেও নিতে পারি,O O O O O O O B-number O O O O O O,engine E boxcars Elmira
take it to Corning ,Corning এ এটা গ্রহণ,O O O O,Corning
so Elmira to Corning is two hours ,তাই এল্মিরা কর্নেলের দুই ঘণ্টা,O O O B-time O,Elmira Corning hours
mm-hm ,MM-এইচএম,O,
okay and okay so yeah that that should also work ,ঠিক আছে এবং ঠিক আছে তাই হ্যাঁ যে কাজ করা উচিত,O O O O O O O O O O O,
mm-hm ,MM-এইচএম,O,
so so did you wanna repeat that plan ,তাই আপনি যে পরিকল্পনা পুনরাবৃত্তি করতে চান,O O O O O O O,
okay engine E one goes to Dansville picks up three boxcars ,ঠিক আছে ইঞ্জিন ইয়ান ড্যান্সভিলকে নিয়ে যায় তিন বক্সকারে,O O O O O O O B-number O,engine E one Dansville boxcars
