I would like to book a trip to Atlantis from Caprica on Saturday August 13 2016 for 8 adults,मैं 8 अगस्त वयस्कों के लिए शनिवार 13 अगस्त 2016 को ओबेटा से अटलांटिस की यात्रा बुक करना चाहूंगा,O B-passenger_number O B-passenger_type O O O B-depart_date.day_number O B-depart_date.year O O O O O O O O O,book Atlantis Caprica Saturday August
I have a tight budget of 1700,मेरा बजट 1700 का है,O O B-budget_amount O O,
Hi I checked a few options for you and unfortunately we do not currently have any trips that meet this criteria,नमस्ते  मैंने आपके लिए कुछ विकल्पों की जाँच की और दुर्भाग्य से वर्तमान में हमारे पास ऐसी कोई यात्रा नहीं है जो इस मानदंड को पूरा करती हो,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,
Would you like to book an alternate travel option,क्या आप वैकल्पिक यात्रा विकल्प बुक करना चाहेंगे,O O O O O O O O,book
Yes how about going to Neverland from Caprica on August 13 2016 for 5 adults,हाँ कैसे के बारे में 13 अगस्त 2016 को 5 वयस्कों के लिए बक्सा से नेवरलैंड जा रहा है,O O O O O B-depart_date.day_number O B-depart_date.year O B-passenger_number B-passenger_type O O O O O O O O,Neverland Caprica August
For this trip my budget would be 1900,इस यात्रा के लिए मेरा बजट 1900 होगा,O O O O O O B-budget_amount O,
I checked the availability for this date and there were no trips available,मैंने इस तिथि के लिए उपलब्धता की जाँच की और कोई यात्रा उपलब्ध नहीं थी,O O O O O O O O O O O O O O O,
Would you like to select some alternate dates,क्या आप कुछ वैकल्पिक तिथियों का चयन करना चाहेंगे,O O O O O O O O O,alternate
I have no flexibility for dates but I can leave from Atlantis rather than Caprica,मेरे पास तारीखों के लिए कोई लचीलापन नहीं है  लेकिन मैं अटलांटा से बिकाए के बजाय छोड़ सकता हूं,O O O O O O O O O O O O O O O O O O O,Atlantis Caprica
How about that,उस के बारे में कैसा है,O O O O O O,
I checked the availability for that date and there were no trips available,मैंने उस तारीख के लिए उपलब्धता की जाँच की और कोई यात्रा उपलब्ध नहीं थी,O O O O O O O O O O O O O O O,
Would you like to select some alternate dates,क्या आप कुछ वैकल्पिक तिथियों का चयन करना चाहेंगे,O O O O O O O O O,alternate
I suppose I will speak with my husband to see if we can choose other dates and then I will come back to you,मुझे लगता है कि मैं अपने पति से बात करके देखूंगी कि क्या हम अन्य तारीखों का चयन कर सकते हैं और फिर मैं आपके पास वापस आऊंगा,O O O O O O B-relationship_type O O O O O O O O O O O O O O O O O O O O O,
Thanks for your help,आपकी सहायता के लिए धन्यवाद,O O O O O,
Hello I am looking to book a vacation from Gotham City to Mos Eisley for $ 2100,हैलो मैं $ 2100 के लिए गोथम सिटी से मोस आइस्ले की छुट्टी बुक करना चाहता हूं,O O B-budget_unit B-budget_amount O O O O O O O O O O O O O,book vacation Gotham City Mos Eisley
Hi Sorry I cannot find any trips from Gotham City to Mos Eisley for you,क्षमा करें  मुझे आपके लिए गोथम सिटी से मोस आइस्ले तक कोई यात्रा नहीं मिल रही है,O O O O O O O O O O O O O O O O O,Sorry Gotham City Mos Eisley
What about a trip from Gotham City to Neverland for the same budget,उसी बजट के लिए गोथम सिटी से नेवरलैंड की यात्रा के बारे में क्या,O O O O O O O O O O O O O O,Gotham City Neverland same
Sorry I cannot find any trips leaving from Gotham City,क्षमा करें  मुझे गोथम सिटी से कोई यात्राएं नहीं मिल रही हैं,O O O O O O O O O O O O,Sorry Gotham City
Could you suggest another nearby departure city,क्या आप पास के किसी अन्य प्रस्थान शहर का सुझाव दे सकते हैं,O O O O O O O O O O O O O,nearby
Would any packages to Mos Eisley be available if I increase my budget to $ 2500,अगर मैं अपने बजट को $ 2500 तक बढ़ाता हूं तो क्या मॉस आइज़ली के लिए कोई पैकेज उपलब्ध होगा,O O O O O B-budget_unit B-budget_amount O B-budget_cost.relative O O O O O O O O O O O,packages Mos Eisley
There are no trips available to Mos Eisley,मोस आइस्ले के लिए कोई यात्रा उपलब्ध नहीं है,O O O O O O O O O,Mos Eisley
You know what I would like to try and visit Neverland,आप जानते हैं कि मैं नेवरलैंड की यात्रा करने के लिए क्या करना चाहूंगा,O O O O O O O O O O O O O O,Neverland
I cannot find any trips available to Neverland,मुझे नेवरलैंड के लिए उपलब्ध कोई भी यात्रा नहीं मिल रही है,O O O O O O O O O O O O,Neverland
Do you have any trips from Gotham City to Kobe for my original budget of $ 2100,2100 डॉलर के मेरे मूल बजट के लिए क्या आपके पास गोथम सिटी से कोबे तक कोई यात्रा है,B-budget_amount O O O B-budget_relative O O O O O O O O O O O O O O,Gotham City Kobe $
