 i want to fly from boston at 8:38 am and arrive in denver at 11:10 in the morning ,मैं सुबह 838 बजे बॉस्टन से उड़ना चाहता हूं और सुबह 1110 बजे डेनवर पहुंचता हूं,O B-arrive_time.period_of_day O O B-fromloc.city_name O O O O O O O O B-toloc.city_name O O,8:38 am 11:10
 what flights are available from pittsburgh to baltimore on thursday morning ,गुरुवार की सुबह पिट्सबर्ग से बाल्टिमोर के लिए कौन सी उड़ानें उपलब्ध हैं,B-depart_date.day_name O B-depart_time.period_of_day B-fromloc.city_name O B-toloc.city_name O O O O O O O,
 what is the arrival time in san francisco for the 7:55 am flight leaving washington ,वॉशिंगटन से उड़ान भरने वाले 755 बजे सैन फ्रांसिस्को के लिए आगमन समय क्या है,B-fromloc.city_name O O O O O I-flight_time B-fromloc.city_name O O O B-flight_time O O O,francisco 7:55 am
 cheapest airfare from tacoma to orlando ,टैकोमा से ऑरलैंडो तक का सबसे सस्ता विमान किराया,B-fromloc.city_name O B-toloc.city_name O O O O O O,cheapest
 round trip fares from pittsburgh to philadelphia under 1000 dollars ,पिट्सबर्ग से फिलाडेल्फिया तक 1000 डॉलर के तहत गोल यात्रा किराया,B-fromloc.city_name O B-toloc.city_name O B-fare_amount O O B-cost_relative O O O,round trip dollars
 i need a flight tomorrow from columbus to minneapolis ,मुझे कलुम्बोस से मिनियापोलिस के लिए एक उड़ान की आवश्यकता है,O O O B-toloc.city_name O O O O O O O,tomorrow columbus
 what kind of aircraft is used on a flight from cleveland to dallas ,क्लीवलैंड से डलास की उड़ान में किस तरह के विमानों का उपयोग किया जाता है,B-fromloc.city_name O B-toloc.city_name O O O O O O O O O O O O,
 show me the flights from pittsburgh to los angeles on thursday ,मुझे पिट्सबर्ग से लॉस एंजिल्स में लॉस एंजिल्स की उड़ानों को दिखाएं,O B-fromloc.city_name O B-toloc.city_name O O O O O O O O,angeles thursday
 all flights from boston to washington ,बुस्टोन से वॉशिंगटन तक सभी उड़ानें,O O B-toloc.city_name O O O,boston
 what kind of ground transportation is available in denver ,किस तरह का जमीनी परिवहन डेनवर में उपलब्ध है,O O O O O B-city_name O O O,
 show me the flights from dallas to san francisco ,मुझे डलास से सैन फ्रांसिस्को की उड़ानों को दिखाएं,O B-fromloc.city_name O B-toloc.city_name O O O O O,francisco
 show me the flights from san diego to newark by way of houston ,मुझे हॉस्टन के रास्ते सान डाइगो से नेवार्क तक की उड़ानें दिखाएं,O B-stoploc.city_name O O O I-fromloc.city_name O B-toloc.city_name O O O O,san
 what's the airport at orlando ,ऑरलैंडो में हवाई अड्डा क्या है,B-city_name O O O O O,
 what is the cheapest flight from boston to bwi ,बोस्टन से बीवी तक सबसे सस्ती उड़ान कौन सी है,B-fromloc.city_name O O O O O O O O O,cheapest bwi
 all flights to baltimore after 6 pm ,शाम 6 बजे के बाद बाल्टिमोर की सभी उड़ानें,O B-depart_time.time O O B-depart_time.time_relative B-toloc.city_name O O O,pm
 show me the first class fares from boston to denver ,मुझे फर्स्ट क्लास का किराया बोस्टन से लेकर डेनेवर तक दिखाओ,O B-class_type I-class_type O O B-fromloc.city_name O O B-toloc.city_name O O,
 show me the ground transportation in denver ,मुझे डेनवर में ग्राउंड ट्रांसपोर्टेशन दिखाओ,O B-city_name O O O O,
